date,time,team,name,card,type
2024-12-02,12:30:03,Blue,Nishant,7♥,Assist
2024-12-02,12:35:46,Blue,Mel,7♣,Assist
2024-12-02,12:36:35,Green,Behring,3♥,Assist
2024-12-02,12:40:49,Blue,Maya,Q♥,Assist
2024-12-02,12:46:43,Green,Jaemo,10♥,Assist
2024-12-02,12:47:10,Blue,Mel,7♣,Assist
2024-12-02,12:47:33,Blue,Maya,4♦,Assist
2024-12-02,12:59:26,Blue,Brian,9♥,Assist
2024-11-26,12:13:55,Blue,Larah,9♠,Assist
2024-11-26,12:18:57,Green,Daniel,9♥,Assist
2024-11-26,12:20:41,Blue,Larah,8♦,Assist
2024-11-26,12:27:25,Blue,Nishant,7♦,Assist
2024-11-26,12:32:26,Blue,Kenji,Q♥,Assist
2024-11-26,12:40:01,Green,Russel,5♦,Assist
2024-11-26,12:41:56,Green,Maya,6♥,Assist
2024-11-26,12:44:36,Blue,Nishant,9♣,Assist
2024-11-26,12:46:06,Green,Russel,10♦,Assist
2024-11-26,12:48:19,Green,Mel,8♦,Assist
2024-11-26,12:55:57,Green,Maya,J♣,Assist
2024-11-26,12:56:24,Blue,Paul,4♣,Assist
2024-11-26,13:06:28,Green,Russel,9♠,Assist
2024-11-26,13:09:19,Green,Russel,9♥,Assist
2024-11-25,12:26:26,Blue,Howard,2♣,Assist
2024-11-25,12:32:56,Blue,Russel,Q♦,Assist
2024-11-25,12:34:18,Blue,Howard,K♣,Assist
2024-11-25,12:42:37,Blue,Jaemo,7♥,Assist
2024-11-25,12:43:18,Blue,Howard,8♦,Assist
2024-11-25,12:48:00,Green,Mel,2♣,Assist
2024-11-25,12:50:09,Blue,Russel,Q♥,Assist
2024-11-25,12:51:05,Green,Kenji,4♦,Assist
2024-11-25,12:54:48,Green,Mel,6♦,Assist
2024-11-25,12:57:07,Blue,Russel,7♠,Assist
2024-11-25,13:05:51,Blue,Jose,8♣,Assist
2024-11-20,12:22:09,Green,Mel,3♣,Assist
2024-11-20,12:23:47,Green,Nishant,6♦,Assist
2024-11-20,12:27:40,Blue,Kenji,9♠,Assist
2024-11-20,12:28:28,Green,Howard,5♠,Assist
2024-11-20,12:31:37,Blue,Daniel,K♠,Assist
2024-11-20,12:36:46,Green,Mel,7♥,Assist
2024-11-20,12:37:11,Blue,Daniel,Q♠,Assist
2024-11-20,12:37:20,Blue,Kenji,Q♠,Assist
2024-11-20,12:44:43,Green,Mel,A♠,Assist
2024-11-20,12:48:48,Green,Paul,7♥,Assist
2024-11-20,12:54:09,Blue,Ghost,K♦,Assist
2024-11-20,12:54:51,Green,Paul,2♥,Assist
2024-11-20,12:58:19,Blue,Behring,9♠,Assist
2024-11-20,12:59:58,Green,Mel,Q♣,Assist
2024-11-20,13:00:42,Green,Mel,9♠,Assist
2024-11-19,12:15:53,Blue,Brian,Q♦,Assist
2024-11-19,12:17:40,Green,Daniel,3♦,Assist
2024-11-19,12:18:35,Blue,Howard,7♠,Assist
2024-11-19,12:22:03,Blue,Brian,8♥,Assist
2024-11-19,12:25:00,Green,Daniel,3♦,Assist
2024-11-19,12:27:59,Blue,Nishant,8♣,Assist
2024-11-19,12:32:40,Blue,Mel,A♠,Assist
2024-11-19,12:35:01,Green,Larah,A♦,Assist
2024-11-19,12:37:10,Blue,Mel,9♥,Assist
2024-11-19,12:41:36,Green,Paul,6♦,Assist
2024-11-19,12:44:33,Blue,Mel,8♥,Assist
2024-11-19,12:45:44,Blue,Brian,A♦,Assist
2024-11-19,12:48:23,Green,Daniel,6♣,Assist
2024-11-19,12:48:46,Blue,Brian,8♥,Assist
